x	y	MDS1	elevação	ph	altura							
1	1	-0.5802	496.8338	4.46	8							
1	2	-0.2663	494.8	4.46	5.5							
1	3	0.0314	493.8595	4.4	12							
1	4	0.2269	493.1987	4.4	13							
1	5	-0.6189	492.4	4.4	6							
1	6	-0.8976	491.8018	4.82	12.5							
1	7	-0.7211	493.9894	4.52	8.5							
1	8	-0.7278	497.4659	4.52	6.5							
1	9	-0.5934	501.8862	4.52	4							
1	10	-0.6942	502.2238	4.52	5							
2	1	0.6166	498.7934	4.52	5							
2	2	0.5814	495.3992	4.52	5							
2	3	-0.3346	497.0133	4.82	7							
2	4	-0.7933	497.7149	4.4	6							
2	5	-0.7023	500.5472	4.4	5							
2	6	-0.4414	499.8297	4.4	4							
2	7	-0.9822	499.6647	4.46	5.5							
2	8	-0.2457	502.6	4.46	12.5							
2	9	0.2487	503.2084	4.46	10							
2	10	-0.7439	504.1976	4.5	4.5							
3	1	0.3506	507.2053	4.5	5							
3	2	1.04	507.0679	4.5	4.5							
3	3	0.6001	502.0443	4.51	6							
3	4	-0.3451	496.2089	4.51	7.5							
3	5	-0.4379	493.3062	4.51	19.5							
3	6	-0.4616	490.9	4.82	16							
3	7	-0.6148	490.4428	4.75	8.5							
3	8	0.1417	494.5185	4.75	8.5							
3	9	1.1	498.6092	4.75	12							
3	10	-0.1967	503.9199	4.75	8							
4	1	0.6704	508.7321	4.75	11							
4	2	0.4150	508.9742	4.75	9							
4	3	-0.0768	504.7314	4.81	6.5							
4	4	0.0784	512.3525	4.51	4							
4	5	-0.1316	517.6	4.51	4							
4	6	-0.4242	516.4	4.51	12.5							
4	7	0.1562	516.8677	4.5	11.5							
4	8	-0.8086	517.1	5.44	15							
4	9	-0.5060	513.5929	5.44	6.5							
4	10	-0.8398	512.9325	5.70	7.5							
5	1	0.3502	512.2487	5.74	4.5							
5	2	0.9385	507.5	5.30	7							
5	3	-0.2510	513.9649	5.30	6.5							
5	4	-0.1976	518.4787	5.30	15							
5	5	0.1272	520.6086	5.30	10							
5	6	0.5135	517.9814	5.30	16							
5	7	0.9665	516.2367	4.63	4							
5	8	-0.0288	511.6695	5.44	7.125							
5	9	0.4901	513.2425	5.44	10							
5	10	-0.1972	507.5545	5.70	8.5							
6	1	0.4164	504.7997	5.70	12							
6	2	0.8456	499.5	6.28	7							
6	3	-0.0976	495.3	6.28	8							
6	4	0.6999	492.7394	5.30	8							
6	5	1.12	491.3383	5.30	11							
6	6	0.4057	495.4478	4.63	6							
6	7	0.1728	497.5545	4.63	10.1							
6	8	0.7864	502.4875	5.44	11							
6	9	-0.1431	500.2796	5.74	6							
6	10	0.0831	526.1797	5.74	3							
7	1	0.8356	527.3686	6.62	18							
7	2	0.6831	523.1293	6.62	8							
7	3	0.7934	532.7993	6.62	4.5							
7	4	0.4425	531.2207	6.62	6							
7	5	-0.2829	530.0373	6.62	12							
7	6	-0.5898	528.4522	6.62	12							
7	7	0.4536	527.3855	5.44	7							
7	8	0.5423	526.6497	5.44	7							
7	9	0.4021	521.2	5.70	10.5							
7	10	-0.0486	521.3	5.74	9							
8	1	0.0829	522.8645	5.30	7.5							
8	2	0.8726	524.2692	5.30	10							
8	3	0.0343	534.0	5.30	7.5							
8	4	-0.7030	535.4254	5.30	8.5							
8	5	-0.6893	537.6268	5.30	10							
8	6	-0.0395	539.8284	4.63	5							
8	7	0.5736	538.8	5.44	5							
8	8	-0.2625	536.7787	5.44	6.5							
8	9	0.6018	535.1285	5.70	6.5							
8	10	-0.0049	532.8903	5.70	4.5							
9	1	0.8328	534.0084	6.28	4							
9	2	-0.0085	532.0137	6.28	12							
9	3	-0.3194	532.4349	5.30	12							
9	4	0.0864	530.5178	5.30	12							
9	5	-0.6007	529.5326	4.63	12							
9	6	-0.4980	528.9951	4.63	8							
9	7	-0.3831	527.2608	5.44	4.5							
9	8	0.4893	527.1202	5.44	7							
9	9	0.0620	528.5896	5.70	5.75							
9	10	0.4053	530.2979	5.70	7							
10	1	0.3852	525.5	5.70	7							
10	2	-0.1456	522.3572	6.28	8							
10	3	0.0830	520.3684	6.28	7							
10	4	-0.8503	524.0021	4.63	12							
10	5	-0.1949	527.6521	4.63	4							
10	6	0.2728	527.8832	4.63	9							
10	7	-0.5657	525.0233	5.44	10							
10	8	0.5411	525.6611	6.44	8							
10	9	-0.3184	523.4339	6.44	5							
10	10	0.2199	523.4541	6.44	6							
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
