entity,code,year,nitrogen_oxide,sulphur_dioxide,carbon_monoxide,black_carbon,ammonia,non_methane
World,OWID_WRL,1750,184890.8,824883.25,67715250,520096.1,3232090.2,7252847
World,OWID_WRL,1760,190625.06,1147852,69548700,533239.3,3321029,7448673
World,OWID_WRL,1770,197899,1897544.4,71214250,545336.94,3395693.5,7625596
World,OWID_WRL,1780,212941.73,596877.8,77485440,598098.3,3745677.8,8258267.5
World,OWID_WRL,1790,224735.95,745682.25,80390584,621810.4,3886666.5,8561685
World,OWID_WRL,1800,239767.89,853486.5,81551450,630098.56,3884089.8,8682214
World,OWID_WRL,1801,241974.95,860307.2,82145650,634696.56,3918565.2,8743140
World,OWID_WRL,1802,254719.64,898969.75,82849576,641346.6,3953291.5,8817136
World,OWID_WRL,1803,250046.23,913779.6,83437096,645776.44,3987849.2,8869006
World,OWID_WRL,1804,253301.44,920767.3,84123280,652013.25,4022668.8,8934458
World,OWID_WRL,1805,255429.53,964831.8,84669656,655858.6,4057559.2,8991958
World,OWID_WRL,1806,259465.28,1016143.7,85308780,661333.2,4092576.8,9054436
World,OWID_WRL,1807,261147.45,1020471.44,85918584,666151.9,4127579.2,9115436
World,OWID_WRL,1808,263246.8,1016533.9,86477970,670179.06,4162802.8,9174691
World,OWID_WRL,1809,264864.97,1018657.8,87061880,674611.9,4198136.5,9234560
World,OWID_WRL,1810,268147.56,978651.4,87723200,681173.4,4233599.5,9299131
World,OWID_WRL,1811,272321.2,1020886.4,88182160,684606.4,4252767,9343322
World,OWID_WRL,1812,275284.53,1063718.1,88619420,687622.94,4271975.5,9386592
World,OWID_WRL,1813,277113.94,1077855,89014616,689908.3,4291222,9427982
World,OWID_WRL,1814,279788.16,1064471.9,89427570,692528.8,4310517.5,9470348
World,OWID_WRL,1815,282604.1,1081825.9,89853580,695405.7,4329858,9513231
World,OWID_WRL,1816,286121.78,1128878,90369440,699955.44,4349117.5,9558419
World,OWID_WRL,1817,288282.03,1133441.6,90788040,702726.9,4368544,9600791
World,OWID_WRL,1818,290258.38,1153335.6,91170936,704871.4,4388008.5,9641610
World,OWID_WRL,1819,291928.88,1156326.4,91576160,709457.2,4407514.5,9683114
World,OWID_WRL,1820,294120.6,1195949,91982210,712526,4427069,9725016
World,OWID_WRL,1821,297362.44,1254218.8,92747170,718853.56,4465293.5,9804221
World,OWID_WRL,1822,301953.56,1304974.5,93552240,725913.2,4503631.5,9884869
World,OWID_WRL,1823,308321.22,1281251.8,94373730,734748.3,4542084.5,9966423
